to,from,weight
0,13,10
0,12,10
1,11,10
16,2,10
14,2,10
2,1,5
15,2,10
2,13,5
2,8,10
2,12,5
10,2,10
2,5,10
2,6,10
2,9,10
2,4,10
2,3,10
2,0,5
3,1,5
3,4,10
3,0,5
3,13,5
3,12,5
15,3,10
3,6,10
3,9,10
3,5,10
4,13,5
15,4,10
12,4,10
4,9,10
4,6,10
5,14,5
5,8,10
5,0,5
10,5,10
5,13,5
5,15,5
5,4,5
5,12,5
5,9,5
5,6,5
15,6,10
6,13,5
12,6,10
6,9,10
6,0,5
8,10,5
8,0,5
8,3,5
8,12,5
14,8,10
8,4,5
8,15,5
8,6,5
9,11,5
9,1,5
9,0,5
13,9,10
9,12,5
15,9,10
10,14,10
10,12,5
10,9,5
10,6,5
10,0,5
12,15,10
12,13,10
13,15,10
13,1,5
14,12,5
14,4,5
14,9,5
16,9,5
16,6,5
16,3,5
11,2,1
11,3,1
11,15,1
11,4,1
11,13,1
11,5,1
11,6,1
11,12,1
8,9,1
13,8,1
10,3,1
10,4,1
10,13,1
10,15,1
14,3,1
14,6,1
0,11,1
13,14,1
14,15,1
0,4,1
0,1,1
16,8,1
1,6,1
0,15,1
16,5,1
10,16,1
14,16,1
0,14,1
0,16,1
16,4,1
15,16,1
1,12,1
1,4,1
1,15,1
2,7,1
6,7,1
13,16,1
5,7,1
4,7,1
15,7,1
