id,name,followers_count,friends_count,isProxy
"0,""tagesschau"",3883920,325,0"
"1,""UN"",16067044,1206,0"
"2,""Junge_Union"",79127,3358,0"
"3,""CDU"",379765,1603,0"
"4,""petertauber"",184290,1731,0"
"5,""cduschorndorf"",523,338,0"
"6,""JuliaKloeckner"",75342,1732,0"
"7,""clubnr12"",10935,46,0"
"8,""juesslingen"",242,288,0"
"9,""groehe"",48624,978,0"
"10,""ju_hn"",263,193,0"
"11,""UNGeneva"",863054,2002,0"
"12,""RegSprecherStS"",977313,157,0"
"13,""AuswaertigesAmt"",889861,1169,0"
"14,""JU_KV_LB"",219,52,0"
"15,""peteraltmaier"",307987,1500,0"
"16,""JURemsMurr"",27,10,0"
"17,""JungeUnionBW"",108,0,0"
